Date,State,Latitude,Longitude,WS10M,WS50M,PS,T2M,WD10M,T2M_MAX,T2M_MIN,T2MDEW,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2015-02-22,Andaman and Nicobar Islands,11.6234,92.7265,3.48,3.76,101.19,27.79,66.0,28.44,26.89,22.43,72.68,0.35,5.382
2015-02-23,Andaman and Nicobar Islands,11.6234,92.7265,3.07,3.28,101.22,27.88,54.3,28.59,27.09,21.97,70.32,0.0,6.4903
2015-02-24,Andaman and Nicobar Islands,11.6234,92.7265,3.39,3.61,101.15,27.83,24.8,28.58,27.02,21.1,66.89,0.0,6.7135
2015-02-25,Andaman and Nicobar Islands,11.6234,92.7265,3.33,3.57,101.04,27.9,41.7,28.75,26.93,19.98,62.18,0.0,6.7582
2015-02-26,Andaman and Nicobar Islands,11.6234,92.7265,3.17,3.38,100.99,27.65,44.9,28.48,26.85,20.57,65.48,0.0,6.829
2015-02-27,Andaman and Nicobar Islands,11.6234,92.7265,4.04,4.39,101.02,27.89,48.0,29.14,26.65,20.87,65.96,0.0,7.0018
2015-02-28,Andaman and Nicobar Islands,11.6234,92.7265,4.81,5.26,101.06,27.83,34.0,29.25,26.34,21.13,67.16,0.0,6.7018
2015-03-01,Andaman and Nicobar Islands,11.6234,92.7265,3.03,3.27,101.06,28.32,45.5,29.55,26.93,21.6,67.3,0.15,6.5837
2015-03-02,Andaman and Nicobar Islands,11.6234,92.7265,2.57,2.76,101.1,28.54,48.7,29.32,27.59,23.04,72.17,0.04,6.5381
2015-03-03,Andaman and Nicobar Islands,11.6234,92.7265,1.87,1.96,101.03,28.49,1.6,29.36,27.64,22.64,70.7,0.0,6.6854
2015-03-04,Andaman and Nicobar Islands,11.6234,92.7265,2.82,2.94,101.08,27.88,312.7,28.45,27.25,23.15,75.51,0.21,5.5819
2015-03-05,Andaman and Nicobar Islands,11.6234,92.7265,4.59,4.97,101.14,28.23,351.3,29.08,27.23,23.05,73.58,0.13,6.2544
2015-03-06,Andaman and Nicobar Islands,11.6234,92.7265,5.39,5.91,101.12,28.21,8.4,29.28,26.95,22.78,72.53,0.0,7.0606
2015-03-07,Andaman and Nicobar Islands,11.6234,92.7265,5.82,6.37,101.11,28.15,4.5,29.32,26.99,21.73,68.49,0.0,7.0171
2015-03-08,Andaman and Nicobar Islands,11.6234,92.7265,4.58,4.96,101.17,28.11,10.3,29.26,26.84,20.65,64.06,0.0,6.5364
2015-03-09,Andaman and Nicobar Islands,11.6234,92.7265,3.55,3.78,101.24,28.14,28.4,29.18,26.91,21.4,66.93,0.0,6.1838
2015-03-10,Andaman and Nicobar Islands,11.6234,92.7265,2.34,2.49,101.2,28.56,57.8,29.41,27.57,22.27,68.91,0.16,6.3521
2015-03-11,Andaman and Nicobar Islands,11.6234,92.7265,4.05,4.4,101.22,29.03,59.5,30.1,28.06,22.9,69.62,0.02,6.72
2015-03-12,Andaman and Nicobar Islands,11.6234,92.7265,3.31,3.59,101.23,29.16,61.2,30.79,27.7,22.01,65.76,0.0,7.045
2015-03-13,Andaman and Nicobar Islands,11.6234,92.7265,2.26,2.41,101.23,29.0,87.7,30.34,27.63,21.55,64.61,0.0,6.7877
2015-03-14,Andaman and Nicobar Islands,11.6234,92.7265,1.43,1.53,101.35,28.99,73.0,30.19,27.69,22.31,67.46,0.01,6.415
2015-03-15,Andaman and Nicobar Islands,11.6234,92.7265,2.63,2.8,101.34,28.88,358.2,29.85,28.03,22.02,66.66,0.0,6.5165
2015-03-16,Andaman and Nicobar Islands,11.6234,92.7265,3.28,3.5,101.25,28.51,356.0,29.82,27.39,20.93,63.88,0.0,6.942
2015-03-17,Andaman and Nicobar Islands,11.6234,92.7265,2.96,3.14,101.07,28.43,331.7,29.62,27.22,22.92,72.43,0.0,6.39
2015-03-18,Andaman and Nicobar Islands,11.6234,92.7265,2.52,2.6,100.98,28.34,285.9,29.03,27.38,22.47,70.78,0.06,6.6823
2015-03-19,Andaman and Nicobar Islands,11.6234,92.7265,2.99,3.14,101.04,28.56,312.9,29.35,27.65,22.04,67.82,0.0,6.6137
2015-03-20,Andaman and Nicobar Islands,11.6234,92.7265,4.29,4.71,101.06,28.86,356.4,29.92,27.5,23.05,70.94,0.01,6.4656
2015-03-21,Andaman and Nicobar Islands,11.6234,92.7265,4.64,5.04,101.12,28.73,350.6,29.65,27.77,22.22,68.05,0.01,6.1382
2015-03-22,Andaman and Nicobar Islands,11.6234,92.7265,3.36,3.55,101.09,28.04,346.7,28.45,27.56,21.11,66.15,0.0,6.127
2015-03-23,Andaman and Nicobar Islands,11.6234,92.7265,1.55,1.59,101.0,27.9,343.2,28.7,27.04,20.69,65.12,0.0,6.6948
2015-03-24,Andaman and Nicobar Islands,11.6234,92.7265,2.33,2.47,101.04,28.48,23.8,29.63,27.13,21.87,67.46,0.0,6.4068
2015-03-25,Andaman and Nicobar Islands,11.6234,92.7265,4.31,4.68,101.11,29.01,87.0,30.2,27.93,23.56,72.56,0.15,6.0142
2015-03-26,Andaman and Nicobar Islands,11.6234,92.7265,5.8,6.41,101.2,29.15,81.2,30.14,28.35,24.37,75.53,0.6,6.4337
2015-03-27,Andaman and Nicobar Islands,11.6234,92.7265,6.03,6.64,101.18,29.16,81.4,29.96,28.54,24.26,74.87,0.17,6.2786
2015-03-28,Andaman and Nicobar Islands,11.6234,92.7265,4.74,5.19,101.06,29.21,79.0,30.5,28.12,24.27,74.91,0.3,6.5844
2015-03-29,Andaman and Nicobar Islands,11.6234,92.7265,4.43,4.83,101.0,29.11,70.1,30.55,27.93,23.97,74.06,0.07,6.7128
2015-03-30,Andaman and Nicobar Islands,11.6234,92.7265,3.34,3.63,100.96,29.57,67.6,31.1,28.19,23.68,70.98,0.05,6.9154
2015-03-31,Andaman and Nicobar Islands,11.6234,92.7265,3.64,3.91,101.02,29.49,69.4,30.83,28.26,23.41,70.24,0.08,7.0142
2015-04-01,Andaman and Nicobar Islands,11.6234,92.7265,2.54,2.69,101.01,29.25,8.7,30.31,28.33,23.24,70.19,0.26,6.797
2015-04-02,Andaman and Nicobar Islands,11.6234,92.7265,2.61,2.7,100.9,29.2,323.6,29.83,28.67,22.47,67.1,0.14,6.9103
2015-04-03,Andaman and Nicobar Islands,11.6234,92.7265,2.64,2.72,100.78,28.75,324.3,29.48,28.05,22.48,68.99,0.01,7.2984
2015-04-04,Andaman and Nicobar Islands,11.6234,92.7265,1.2,1.18,100.7,28.75,283.9,29.51,27.82,20.99,63.16,0.01,7.3637
2015-04-05,Andaman and Nicobar Islands,11.6234,92.7265,1.11,1.17,100.79,29.26,2.3,30.34,28.0,21.31,62.43,0.0,7.2454
2015-04-06,Andaman and Nicobar Islands,11.6234,92.7265,1.83,1.93,100.82,29.68,16.1,30.83,28.57,22.2,64.52,0.0,7.2883
2015-04-07,Andaman and Nicobar Islands,11.6234,92.7265,4.12,4.42,100.82,29.76,8.1,31.12,28.53,23.91,71.05,0.0,7.3366
2015-04-08,Andaman and Nicobar Islands,11.6234,92.7265,3.01,3.2,100.87,29.78,358.7,30.87,28.66,23.85,70.65,0.02,6.9682
2015-04-09,Andaman and Nicobar Islands,11.6234,92.7265,2.73,2.88,100.93,29.88,18.1,30.92,28.83,23.88,70.55,0.09,6.4162
2015-04-10,Andaman and Nicobar Islands,11.6234,92.7265,1.78,1.89,100.97,30.31,58.5,31.31,29.38,22.87,64.66,0.1,6.3862
2015-04-11,Andaman and Nicobar Islands,11.6234,92.7265,1.03,1.08,101.07,30.14,104.7,31.31,28.95,21.9,61.74,0.4,6.6576
2015-04-12,Andaman and Nicobar Islands,11.6234,92.7265,2.27,2.39,101.2,29.76,21.7,30.71,28.81,23.1,67.6,1.43,4.9354
2015-04-13,Andaman and Nicobar Islands,11.6234,92.7265,3.34,3.56,101.16,29.45,25.5,29.81,28.97,23.68,71.18,5.08,2.4578
2015-04-14,Andaman and Nicobar Islands,11.6234,92.7265,3.17,3.4,101.07,28.76,83.7,29.33,28.24,23.59,73.7,6.1,3.3749
2015-04-15,Andaman and Nicobar Islands,11.6234,92.7265,2.97,3.2,101.09,28.29,71.6,28.68,27.95,23.87,76.93,8.19,3.5203
2015-04-16,Andaman and Nicobar Islands,11.6234,92.7265,2.75,2.95,101.15,28.72,55.6,29.23,27.73,23.94,75.31,1.97,5.7948
2015-04-17,Andaman and Nicobar Islands,11.6234,92.7265,1.87,1.99,100.96,28.96,81.3,29.42,28.37,23.97,74.45,1.14,6.312
2015-04-18,Andaman and Nicobar Islands,11.6234,92.7265,3.41,3.65,100.88,28.99,163.3,29.45,28.33,24.62,77.23,1.07,5.9314
2015-04-19,Andaman and Nicobar Islands,11.6234,92.7265,2.34,2.49,100.94,29.26,149.0,29.66,28.76,24.07,73.65,0.89,6.8868
2015-04-20,Andaman and Nicobar Islands,11.6234,92.7265,1.15,1.19,101.0,29.73,159.6,30.57,28.86,23.61,69.78,1.29,6.9965
2015-04-21,Andaman and Nicobar Islands,11.6234,92.7265,3.15,3.33,100.97,29.6,296.4,29.95,29.21,24.71,74.98,1.51,6.5563
2015-04-22,Andaman and Nicobar Islands,11.6234,92.7265,3.28,3.48,100.96,29.48,301.5,29.98,29.02,24.49,74.51,0.63,7.2638
2015-04-23,Andaman and Nicobar Islands,11.6234,92.7265,2.19,2.36,101.05,29.59,344.0,30.12,28.81,23.99,72.03,0.37,6.9115
2015-04-24,Andaman and Nicobar Islands,11.6234,92.7265,1.57,1.68,101.06,29.36,80.9,29.8,28.82,23.72,71.69,0.92,6.5014
2015-04-25,Andaman and Nicobar Islands,11.6234,92.7265,2.3,2.47,101.0,29.34,77.6,29.76,28.81,23.98,72.87,1.16,6.679
2015-04-26,Andaman and Nicobar Islands,11.6234,92.7265,1.45,1.54,101.08,29.55,102.1,30.38,28.79,20.9,60.74,3.48,6.7603
2015-04-27,Andaman and Nicobar Islands,11.6234,92.7265,1.79,1.89,101.04,29.47,57.0,29.72,28.95,24.05,72.66,5.94,6.769
2015-04-28,Andaman and Nicobar Islands,11.6234,92.7265,1.94,2.06,101.0,29.71,53.9,29.85,29.4,24.03,71.52,5.28,5.7478
2015-04-29,Andaman and Nicobar Islands,11.6234,92.7265,1.37,1.43,100.97,29.64,109.7,29.88,29.36,23.64,70.13,2.94,6.1018
2015-04-30,Andaman and Nicobar Islands,11.6234,92.7265,1.8,1.86,101.03,29.25,209.0,29.63,28.79,24.1,73.75,4.38,6.2573
2015-05-01,Andaman and Nicobar Islands,11.6234,92.7265,2.21,2.32,101.0,28.92,248.4,29.15,28.6,24.02,74.81,6.49,2.5267
2015-05-02,Andaman and Nicobar Islands,11.6234,92.7265,1.78,1.86,100.98,29.13,253.9,29.51,28.59,23.75,72.76,0.25,5.7005
2015-05-03,Andaman and Nicobar Islands,11.6234,92.7265,1.68,1.7,101.0,28.97,255.5,29.43,28.33,23.52,72.36,0.56,5.9141
2015-05-04,Andaman and Nicobar Islands,11.6234,92.7265,0.89,0.94,100.99,29.09,34.9,29.75,28.12,22.98,69.6,0.54,6.4913
2015-05-05,Andaman and Nicobar Islands,11.6234,92.7265,1.36,1.41,100.84,29.86,249.6,30.49,29.01,23.67,69.43,2.29,6.5995
2015-05-06,Andaman and Nicobar Islands,11.6234,92.7265,1.43,1.48,100.77,29.88,273.9,30.42,29.11,24.13,71.28,2.56,6.6149
2015-05-07,Andaman and Nicobar Islands,11.6234,92.7265,1.33,1.35,100.81,29.89,289.0,30.3,29.32,24.38,72.31,0.84,6.8448
2015-05-08,Andaman and Nicobar Islands,11.6234,92.7265,0.91,0.94,100.74,30.0,299.1,30.41,29.55,24.15,70.94,0.71,6.3984
2015-05-09,Andaman and Nicobar Islands,11.6234,92.7265,1.42,1.48,100.7,30.05,218.1,30.43,29.41,24.33,71.44,1.58,6.8873
